til að	353897
því að	312349
í dag	241032
þess að	234957
að það	211008
er að	210723
þar sem	206267
það er	192546
segir að	161141
eins og	160301
um að	160020
til þess	157192
Það er	144744
á að	138971
sem að	136699
sem er	132014
hefur verið	129801
að vera	112096
og það	111785
í gær	96522
hafi verið	92677
er í	92506
að hafa	90058
þannig að	86207
við að	85252
að við	85203
að gera	83504
og er	82596
eftir að	82445
það að	82074
fyrir að	81999
að koma	81676
hins vegar	81608
að því	80261
að fara	79967
upp á	78867
að taka	78141
verið að	77307
á Íslandi	76789
er ekki	76045
Þetta er	71539
en það	70926
í morgun	70784
á því	70643
að þetta	69814
og í	68704
fram í	67881
að hann	67518
hafa verið	65981
frá því	65029
ekki að	64684
hér á	62193
um það	61620
fram að	61487
kemur fram	61114
og við	60943
og að	60539
það sem	60523
í fyrra	59252
að fá	59219
þetta er	58935
hægt að	58562
með því	55893
sé að	55525
að ræða	54771
var í	53579
á milli	53526
meðal annars	53482
sem eru	53478
það sé	52751
fram á	52741
ráð fyrir	52533
af því	52489
inn í	52448
í Reykjavík	51382
að segja	50999
er á	50216
er það	49894
og var	49554
sem við	48100
og ég	48049
á landi	48008
við erum	47137
að þeir	46364
á þessu	44244
að halda	43922
sem hann	43799
var að	43299
en í	42862
sem var	42110
milljónir króna	41231
og hefur	40731
á Akureyri	40638
að vinna	40632
Þannig að	40625
segir í	40575
og á	40359
að ég	39971
upp í	39930
en hann	39394
er nú	39363
í því	38813
þá er	38752
og þá	38071
fyrir því	37569
þarf að	37238
þátt í	36914
að hún	36766
áður en	36273
eru í	35781
í kvöld	35658
á móti	35614
áhrif á	34938
í gegnum	34711
og því	34174
það var	33879
í þessu	33531
vegna þess	33508
því sem	33258
út í	33129
ekki verið	32726
en að	32577
og svo	32403
og þar	32331
að ná	32233
að þá	32211
við höfum	32068
sem hefur	31949
var á	31760
Það var	31387
að sjá	31323
til dæmis	31276
milljarða króna	30914
Við erum	30876
Hann segir	30408
á þessum	30138
að í	29992
er um	29824
er bara	29729
held að	29726
Þetta kemur	29712
en ekki	29564
sem hafa	29444
verið í	29243
á morgun	29120
með að	28961
inn á	28854
eftir því	28778
segja að	28633
miðað við	28542
að leggja	28444
það eru	28382
eru að	28305
á sama	28176
við það	28085
í raun	27678
að finna	27650
sama tíma	27485
hefur ekki	27446
að ekki	27434
búið að	27424
í nótt	27421
um málið	27312
því í	27260
samtali við	27062
er með	27026
í að	26992
hafi ekki	26859
þeirra sem	26794
er mjög	26591
á næstu	26340
að greiða	25951
á höfuðborgarsvæðinu	25846
á síðasta	25646
er til	25548
erum að	25415
á það	25249
sem ég	25232
í fyrsta	25166
í ljós	25103
því er	25038
reyna að	24910
fyrr en	24858
í samtali	24806
að skoða	24712
þrátt fyrir	24683
en á	24584
á þeim	24442
að setja	24404
ekki í	24370
allt að	24314
auk þess	24312
á árinu	24152
heldur en	24023
fara í	23928
í lok	23836
í þessum	23790
þess sem	23751
dag og	23598
á Alþingi	23499
í sumar	23435
sem ekki	23355
bara að	23195
en hún	23071
